xor-filter with 10000 elements, error rate 0.005, max_elements 15000.0: 50232
xor-filter with 10000 elements, error rate 0.05, max_elements 20000: 50240
xor-filter with 10000 elements, error rate 0.02, max_elements 20000: 50240
xor-filter with 10000 elements, error rate 0.01, max_elements 20000: 50240
xor-filter with 10000 elements, error rate 0.005, max_elements 20000: 50240
xor-filter with 100000 elements, error rate 0.05, max_elements 110000.00000000001: 493032
xor-filter with 100000 elements, error rate 0.05, max_elements 120000.0: 493032
xor-filter with 100000 elements, error rate 0.05, max_elements 130000.0: 493032
xor-filter with 100000 elements, error rate 0.05, max_elements 150000.0: 493032
xor-filter with 100000 elements, error rate 0.02, max_elements 110000.00000000001: 493032
xor-filter with 100000 elements, error rate 0.02, max_elements 120000.0: 493032
xor-filter with 100000 elements, error rate 0.02, max_elements 130000.0: 493032
xor-filter with 100000 elements, error rate 0.02, max_elements 150000.0: 493032
xor-filter with 100000 elements, error rate 0.01, max_elements 110000.00000000001: 493032
xor-filter with 100000 elements, error rate 0.01, max_elements 120000.0: 493032
xor-filter with 100000 elements, error rate 0.01, max_elements 130000.0: 493032
xor-filter with 100000 elements, error rate 0.01, max_elements 150000.0: 493032
xor-filter with 100000 elements, error rate 0.005, max_elements 110000.00000000001: 493032
xor-filter with 100000 elements, error rate 0.005, max_elements 120000.0: 493032
xor-filter with 100000 elements, error rate 0.005, max_elements 130000.0: 493032
xor-filter with 100000 elements, error rate 0.005, max_elements 150000.0: 493032
xor-filter with 100000 elements, error rate 0.05, max_elements 200000: 493040
xor-filter with 100000 elements, error rate 0.02, max_elements 200000: 493040
xor-filter with 100000 elements, error rate 0.01, max_elements 200000: 493040
xor-filter with 100000 elements, error rate 0.005, max_elements 200000: 493040
xor-filter with 1000000 elements, error rate 0.05, max_elements 1100000.0: 4921032
xor-filter with 1000000 elements, error rate 0.05, max_elements 1200000.0: 4921032
xor-filter with 1000000 elements, error rate 0.05, max_elements 1300000.0: 4921032
xor-filter with 1000000 elements, error rate 0.05, max_elements 1500000.0: 4921032
xor-filter with 1000000 elements, error rate 0.02, max_elements 1100000.0: 4921032
xor-filter with 1000000 elements, error rate 0.02, max_elements 1200000.0: 4921032
xor-filter with 1000000 elements, error rate 0.02, max_elements 1300000.0: 4921032
xor-filter with 1000000 elements, error rate 0.02, max_elements 1500000.0: 4921032
xor-filter with 1000000 elements, error rate 0.01, max_elements 1100000.0: 4921032
xor-filter with 1000000 elements, error rate 0.01, max_elements 1200000.0: 4921032
xor-filter with 1000000 elements, error rate 0.01, max_elements 1300000.0: 4921032
xor-filter with 1000000 elements, error rate 0.01, max_elements 1500000.0: 4921032
xor-filter with 1000000 elements, error rate 0.005, max_elements 1100000.0: 4921032
xor-filter with 1000000 elements, error rate 0.005, max_elements 1200000.0: 4921032
xor-filter with 1000000 elements, error rate 0.005, max_elements 1300000.0: 4921032
xor-filter with 1000000 elements, error rate 0.005, max_elements 1500000.0: 4921032
xor-filter with 1000000 elements, error rate 0.05, max_elements 2000000: 4921040
xor-filter with 1000000 elements, error rate 0.02, max_elements 2000000: 4921040
xor-filter with 1000000 elements, error rate 0.01, max_elements 2000000: 4921040
xor-filter with 1000000 elements, error rate 0.005, max_elements 2000000: 4921040
